hmm,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty [nm]
1,2,18378.29305,15884.1194,126.0279007,9124.825091,46.40948254,52.14465367,4.881822572
1,2,18493.55844,19643.39405,121.7104672,10486.47144,63.87486907,63.62576552,4.802666295
1,2,18946.51238,28303.69076,125.2569268,4985.455505,36.52363004,30.40793388,5.269242093
1,2,19358.83277,29740.89994,124.1884851,9766.196131,54.69354341,59.03361126,4.987437275
1,2,20355.48577,20599.25566,126.8796858,23847.94901,72.91248292,160.2101114,5.652450041
1,2,21467.37413,3927.811104,121.1318939,6239.590165,37.13408166,37.72813295,4.84797631
1,2,24320.63495,22561.05892,125.0829828,18134.70055,83.5962776,110.9944642,5.039904258
1,2,30326.34439,8011.454643,112.6878818,2612.583273,27.14665131,17.62623951,4.976589547
1,2,31574.72013,26431.68677,117.6467904,3164.693059,27.03885853,20.23999328,5.054848834
1,2,32421.46935,21491.64031,125.2146668,4135.172366,35.06772164,25.2008924,5.326195234
1,3,4047.976759,17097.70719,118.1631782,3798.406546,25.400001,21.19267246,4.482489568
1,3,6483.696185,14897.30815,117.445864,3689.110416,25.95781349,22.42729841,4.768041628
1,3,7787.41667,13523.447,121.6603673,8660.495606,40.81958691,41.18383211,3.877198399
1,3,9168.875324,18727.52654,125.9876993,9307.716574,36.86018798,45.50256534,4.227718339
1,3,10185.48856,28441.43363,120.7321647,4768.563303,25.73884812,25.39495352,4.395088254
1,3,11698.97312,5678.244746,113.0950317,3583.578454,27.22748343,23.28377286,4.715478923
1,3,12387.74584,15179.5288,119.955003,15740.60309,73.17317528,88.2408436,4.283062533
1,3,13096.40683,27993.81503,123.4758757,10929.9412,44.37548854,67.11252163,4.987621976
1,3,15341.20788,16739.3334,118.1950587,6420.36222,39.70406025,47.38740661,5.540474572
1,3,18493.52942,19644.97836,123.0119474,11524.91036,68.1568633,67.8465077,4.751586444
1,3,18947.00902,28303.5356,126.4507748,5149.35962,37.18605426,31.40473727,5.353444915
1,3,19353.30557,29740.40073,127.1157643,10834.12856,56.3551133,65.16461961,5.176344039
1,3,32375.61303,11404.3175,122.8406487,5696.236359,36.65259321,34.21001842,4.972389193
1,4,4060.260015,17101.57159,116.0582194,3995.456221,27.12214886,24.27140519,4.631537451
1,4,6487.154815,14899.9763,112.9193201,2848.809985,29.19178111,15.64803811,4.225375661
1,4,7082.239364,24239.34186,125.8403364,4446.391764,27.89916728,28.6715624,5.620521961
1,4,7795.611037,13527.06244,119.5061925,7979.654484,44.37723366,37.85972444,3.761965504
1,4,7867.726029,25496.51254,123.7712919,6125.355426,40.36298387,38.07248716,5.181394558
1,4,9176.386732,18727.91016,123.7136836,8326.460236,39.24874831,40.72260732,4.110803318
1,4,9761.748113,9597.062045,124.1584617,5592.928505,30.69975423,35.97126501,5.399330687
1,4,10184.45689,28442.36534,119.9837224,4617.877915,26.95225831,23.60728236,4.213637371
1,4,11701.47256,5679.112276,116.3789587,3635.924252,29.1185193,25.20583542,5.243034292
1,4,12397.25063,15179.83113,115.7425565,16393.58319,78.46436774,88.92559384,3.869113898
1,4,13035.93403,30832.95504,124.7358148,9781.171146,42.62775093,45.3800964,3.94841017
1,4,13108.03345,27997.12186,123.8510812,11531.71725,47.84283925,79.73016457,5.607301194
1,4,15341.47733,16744.59665,120.8469699,5986.847131,37.39190559,34.50235777,4.635856373
1,4,17388.49974,16989.13553,124.2747613,13801.97806,61.30296839,76.30233396,4.544036606
1,4,18501.18061,19648.27717,120.5307646,10872.76039,62.76977738,68.09458829,4.84979904
1,4,18961.29682,28307.78164,120.0784752,5062.724866,41.23575866,30.21886632,4.773710147
1,4,19364.44631,29737.73061,123.3847188,10678.772,56.85413076,63.56354459,4.840755896
1,4,20360.96817,20602.55405,125.6036849,21808.18322,74.33476531,141.5569327,5.363805032
1,4,20780.38954,30971.52332,121.5653673,7080.669192,40.81662385,45.75906427,5.153780114
1,4,21463.55329,3929.905066,120.2820919,6014.214684,37.6788904,33.62598367,4.47370062
1,4,23017.27124,28997.8258,127.1850003,10272.90945,44.47808984,58.73270447,4.94945513
1,4,31577.15758,26424.10416,117.4814466,3550.909001,29.48709545,24.29909238,5.285353134
1,4,32429.89363,21495.66686,124.6722934,4167.616035,39.53737017,29.6762385,6.052936655
1,4,32622.01588,18308.47218,126.8664027,5376.936077,33.03080204,35.28554237,5.739209536
1,5,4047.44383,17100.88347,118.843934,3866.264999,25.15937703,21.7204802,4.546796224
1,5,6481.877844,14895.64576,115.7370656,3222.961061,26.07874523,22.07991777,5.185908139
1,5,7077.88583,24237.92525,126.0076685,4725.262626,26.45290918,30.64440284,5.643479498
1,5,7791.702716,13531.20636,121.1752191,8329.136097,40.52716424,42.3960094,4.096116025
1,5,9172.886034,18725.20162,122.2169566,9070.431918,40.24799087,45.13378465,4.060697152
1,5,9763.889345,9602.279195,126.6703371,5569.085098,30.11668227,34.9709009,5.489896832
1,5,10176.6107,28443.80519,122.720624,4454.094724,25.0658496,27.47993775,5.159295542
1,5,11696.40072,5681.182331,118.9686337,3642.351949,27.84572231,23.35881176,5.109623253
1,5,12392.37291,15179.25961,118.9591162,15249.40486,67.76406102,75.75636602,3.76574023
1,5,13034.43558,30831.71316,126.6288913,10107.87397,40.81481813,51.17136458,4.389298848
1,5,13105.17913,27994.24836,121.7645027,10504.31284,45.35988629,66.26333414,4.985223008
1,5,14436.44377,20429.83371,127.2693851,15181.40404,53.6006901,82.77773381,4.685474018
1,5,15335.70691,16748.40422,126.5857244,6444.306558,33.65661402,38.85348918,5.247798287
1,5,17385.62588,16987.08991,126.417248,13856.59082,56.39506131,75.71857786,4.645534652
1,5,18381.74796,15885.83156,127.3908481,8910.157506,43.59583631,45.12839388,4.467127573
1,5,18497.12436,19646.69199,118.2099846,10003.24626,62.14188583,53.45839997,4.046116877
1,5,18955.98303,28306.06913,119.8852617,4939.575708,40.72496015,33.52709366,5.337433005
1,5,19360.05038,29740.6559,122.528743,9977.090267,52.87776729,56.58293315,4.576908745
1,5,20353.52126,20600.09033,126.5464443,22892.34518,72.91466363,153.7448069,5.624126664
1,5,31584.33466,26426.14099,119.0934731,3483.711462,28.96360039,24.19895075,5.497604641
1,6,4040.241584,17098.59534,122.4323216,3958.794576,23.67959151,19.89345529,4.374946663
1,6,6475.978829,14903.9209,122.8889011,3550.173068,25.44522725,19.27446155,4.736112868
1,6,7777.798645,13524.1344,123.8816236,8675.173296,38.28673366,48.19348116,4.612452649
1,6,7847.591289,25482.52958,126.9641908,6034.902575,34.12703398,36.16227388,5.265318494
1,6,9742.894947,9591.187249,127.0389092,5432.980622,28.40328934,23.99446027,4.084745666
1,6,12378.58636,15176.4973,121.4489409,14908.59585,66.98330084,86.17379582,4.522989181
1,6,14426.31479,20422.98602,125.985265,14258.52139,67.96076067,79.08398355,4.676510425
1,6,18477.5531,19636.72128,127.0147616,11177.43808,55.72046259,76.25676479,5.819944784
1,6,18943.76063,28290.97384,123.5108579,4723.996163,41.6443873,34.03309434,5.97142568
1,6,19348.98486,29737.63512,125.6936717,10785.38443,53.96935841,77.74491838,6.015074847
1,6,31573.41485,26416.71954,125.9221211,3677.103615,26.1256929,21.01209945,5.143449777
1,7,4060.776606,17110.2175,112.3177383,3946.028794,26.77169727,24.26989356,4.41320285
1,7,6474.297451,14900.90675,121.7382347,3526.185026,24.15544555,18.52207967,4.540102619
1,7,7077.502418,24237.83526,122.1980515,4359.003958,27.43131977,30.38022127,5.704063531
1,7,7792.696048,13525.10245,119.2021933,7919.722812,36.93834618,39.23513624,3.889648541
1,7,7859.103385,25488.12849,124.4162406,5845.581009,36.0152172,35.56470057,5.145232337
1,7,9167.449182,18723.15688,122.8646631,9063.655767,38.92726945,39.97529856,3.686845523
1,7,9764.330726,9597.234011,123.6733874,5366.197086,30.49610222,31.27335255,4.921370458
1,7,10180.04505,28433.75674,126.6570979,4717.745326,23.81174564,27.85482366,5.246888768
1,7,11702.20255,5678.878093,111.1693621,3649.620264,27.78408031,28.43719654,5.326395789
1,7,12387.23969,15177.93474,116.8172303,14771.12208,69.26055861,84.16817173,4.138560686
1,7,13102.87824,27995.92022,125.9141525,11153.04191,42.68075491,73.4255462,5.531044567
1,7,14434.39113,20424.14201,127.029922,15358.8312,52.20523499,92.01365367,5.10542635
1,7,14837.25436,24330.06777,127.2081229,4624.155646,25.4788444,30.74629916,5.881465197
1,7,15338.0134,16740.22833,123.6521326,6053.248924,35.77818967,38.9711978,5.342129059
1,7,18497.94133,19644.23742,120.9274281,10242.6396,60.1657625,57.69063897,4.430041832
1,7,18953.90623,28303.45881,122.8052766,4953.017687,38.70529189,30.42823604,5.111925483
1,7,19362.63182,29737.96504,124.8765535,9825.705682,50.74186883,56.71036407,4.827513778
1,7,20353.31521,20603.4384,126.9928428,22468.17345,72.33742276,143.5787456,5.396535806
1,7,31578.66423,26421.4925,120.7817536,3393.229823,27.42114038,19.62170704,4.851683117
1,7,32373.26067,11406.1766,122.2644371,5613.978755,36.45698275,35.9166626,5.218597374
1,8,4051.52195,17090.47623,123.6087272,4588.186789,23.41962459,25.41448432,4.757474423
1,8,6490.622565,14902.50378,116.3207384,3265.794606,26.27875472,17.41513163,4.27658082
1,8,7793.423721,13526.74914,117.1969877,7413.189867,40.77227528,39.00322615,3.988468921
1,8,7856.630964,25494.07264,126.2819374,6464.08057,37.18579276,39.87325428,5.332485112
1,8,9174.986804,18727.6218,122.6032654,8775.23625,38.51377633,43.44140101,4.073475465
1,8,9765.428491,9596.180344,121.148577,5572.214016,30.44029641,35.23750345,5.07790119
1,8,10187.51491,28449.83631,117.9568145,4541.006995,26.89159255,29.42562957,4.995047325
1,8,11702.72404,5676.473102,113.4253093,3830.004139,26.8731722,27.50718287,5.135056101
1,8,12390.58703,15179.74647,114.0114122,14252.25999,73.34299937,72.16159098,3.540774047
1,8,13035.66928,30831.50358,123.1958517,10471.38603,45.38349102,52.9627894,4.155071247
1,8,13106.85852,27999.04894,119.5267839,12057.1523,50.80212304,77.14761018,4.85498686
1,8,14434.97485,20427.82411,124.4141782,15198.57248,53.04135012,91.17602139,4.909381668
1,8,15344.85877,16746.08949,118.6102009,6060.556152,36.39771006,34.54522504,4.430261308
1,8,17389.95322,16985.7375,125.9842276,13336.97124,61.22109267,69.45987198,4.415998492
1,8,18501.35448,19646.26991,115.8663427,10211.30785,65.18021412,65.52373539,4.605874942
1,8,18953.46024,28306.48853,123.1877141,4860.843012,35.9775668,28.12810652,4.886837018
1,8,19360.64068,29742.22617,122.3571346,8947.593197,52.66578711,53.49029306,4.812250906
1,8,20353.60197,20603.77307,126.8293698,21548.73355,67.09721875,135.5003478,5.301998976
1,8,21463.98279,3928.615649,119.4024717,5856.416938,36.17765986,35.03337265,4.690123758
1,8,24324.79039,22566.51665,122.8543552,19315.85987,92.66518768,115.5726696,4.754591594
1,8,31374.84493,22385.68103,126.7546644,16223.11214,67.14148848,101.8748444,5.313118532
1,8,31581.27171,26417.94976,120.8621399,3464.703558,27.12231791,24.65757966,5.771574713
1,8,32373.56009,11411.1585,126.6948781,6143.031902,35.73025081,38.79253117,5.494144023
1,8,32431.78904,21492.1757,122.2566107,4294.726123,37.00292323,27.37926828,5.283504662
1,9,4037.734809,17095.0735,121.779054,4549.932613,24.94056212,25.8900991,4.738483548
1,9,6481.514331,14893.37318,108.4664571,3219.075426,30.26599459,22.27088465,4.647040201
1,9,9155.533227,18722.24864,126.7901244,7979.187031,37.31227469,40.29899713,4.440827013
1,9,9716.331973,30591.73927,118.9219461,2521.82697,22.33983134,17.17402035,5.540437344
1,9,10164.55266,28441.55197,120.6279228,4646.282352,29.15858689,34.77157619,5.914064852
1,9,11688.19595,5678.015722,124.0099551,3561.255436,25.06256122,21.56671469,5.263669568
1,9,12378.77215,15182.25428,123.3655376,15362.50597,65.22885144,89.33932064,4.686697739
1,9,14427.36396,20426.97476,124.5786334,14473.89872,67.73473874,76.20499995,4.354441982
1,9,18483.9935,19640.36564,124.3234674,9860.973522,62.08887092,64.32714132,5.366790031
1,9,18951.70349,28299.37507,119.7185945,4610.681849,38.85478219,33.03111951,5.607167277
1,9,30559.39037,8845.584446,124.2995902,2771.094906,23.23062181,21.59127471,6.676003208
1,9,32372.69454,11403.99338,125.3607654,5744.473384,38.39987311,32.70413644,4.92485527
1,10,4049.389935,17101.34957,118.7966924,4363.587427,26.05287008,24.41915778,4.48044245
1,10,6474.294817,14894.79617,119.0044413,3374.36842,26.5504201,19.41374323,4.707688624
1,10,7076.521318,24238.63092,126.1060239,4439.229706,26.98855327,29.27666216,5.756736341
1,10,7791.936374,13529.93126,119.9722245,7776.386958,38.79920167,37.56026126,3.855070318
1,10,9173.736726,18724.95546,121.6194833,8132.137128,36.99310516,42.03513641,4.186843734
1,10,9756.321383,9596.183659,126.1650678,5682.248882,30.0922481,27.62661444,4.351706851
1,10,10178.43218,28446.08718,122.3063218,4739.736635,24.64417734,27.61050369,4.858444035
1,10,11700.69831,5675.269087,110.4388548,3471.863964,28.79869979,23.21464257,4.637302364
1,10,12391.70805,15177.10656,114.3437455,14442.76009,71.61754233,72.24134874,3.519023922
1,10,13033.59291,30837.38491,124.4903139,9705.493823,41.8984438,52.50304867,4.522418892
1,10,13107.98392,27996.8665,119.620722,12290.03359,52.39408837,85.47592973,5.261447567
1,10,15342.29613,16744.91586,122.4063741,6177.285827,37.77761469,31.54229907,4.264703338
1,10,18496.61012,19643.90044,120.7519932,9144.972638,57.45045366,55.80969623,4.778183382
1,10,18953.65652,28303.2112,119.2142025,4328.087392,39.51151936,24.21011025,4.510686214
1,10,19361.83164,29742.36286,123.0540563,9014.000225,50.5211002,53.31902273,4.816245181
1,10,20356.99155,20602.43389,125.8982455,20987.99435,70.58530323,143.2727786,5.662589972
1,10,21465.48223,3931.741493,123.5271756,5983.319803,36.43130508,33.89894261,4.758643289
1,10,23021.45539,29000.12368,126.5236509,9669.900398,41.09738619,51.69395925,4.615063067
1,10,24319.01689,22562.46691,126.2750396,18703.08492,86.52360122,113.8585477,5.105270017
1,10,30569.55639,8854.723687,116.9993958,2594.171012,25.39739741,15.7223473,4.895327061
1,10,31573.72038,26423.59171,126.9268477,3666.028862,25.72121081,26.90392788,6.47659659
1,10,32428.79186,21491.50208,126.1416155,4199.024478,35.06879246,22.21615294,4.786125117
1,11,4052.456141,17098.17163,119.6587279,4385.528964,24.10819006,27.50139158,4.997838375
1,11,6478.615984,14895.57352,117.8231643,3339.093353,23.94131121,18.01159499,4.401222117
1,11,7080.168726,24237.48496,121.9916386,4249.858084,26.66960702,28.35382708,5.478931905
1,11,7790.719563,13526.67424,119.6197562,7805.833815,37.95980841,38.78580975,3.928877755
1,11,7859.128446,25491.33354,125.915193,6818.328631,38.13615348,39.93461211,5.047115303
